TJ                    X                   Y                   Z                  VX                  VY                  VZ                  FI                 PSI                GAMA
s                    m                   m                   m               m / s               m / s               m / s                  бу                  бу                  бу
0.1                 -2.7433e-005        0.034129            -1.1029e-007        -0.00054866         0.69237             -3.3343e-006        90                  0                   0                   
0.2                 -0.00010973         0.14017             -9.0106e-007        -0.0010973          1.436               -1.3692e-005        90                  0                   0                   
0.3                 -0.0002469          0.32273             -3.0979e-006        -0.001646           2.2216              -3.1523e-005        90                  0                   0                   
0.4                 -0.00043893         0.5857              -7.4675e-006        -0.0021946          3.0437              -5.7208e-005        90                  0                   0                   
0.5                 -0.00068582         0.93256             -1.4813e-005        -0.0027433          3.8986              -9.1084e-005        90                  0                   0                   
0.6                 -0.00098759         1.3664              -2.5968e-005        -0.0032919          4.7838              -0.00013346         90                  0                   0                   
0.7                 -0.0013442          1.8903              -4.1797e-005        -0.0038406          5.6972              -0.00018462         90                  0                   0                   
0.8                 -0.0017557          2.5068              -6.3193e-005        -0.0043893          6.6372              -0.00024483         90                  0                   0                   
0.9                 -0.0022221          3.2185              -9.1072e-005        -0.0049379          7.6023              -0.00031434         90                  0                   0                   
1                   -0.0027433          4.028               -0.00012638         -0.0054866          8.5916              -0.00039339         90                  0                   0                   
1.1                 -0.0033194          4.9376              -0.00017008         -0.0060352          9.6039              -0.00048222         90                  0                   0                   
1.2                 -0.0039503          5.9496              -0.00022316         -0.0065838          10.638              -0.00058104         90                  0                   0                   
1.3                 -0.0046361          7.066               -0.00028662         -0.0071325          11.694              -0.00069007         90                  0                   0                   
1.4                 -0.0053768          8.2891              -0.00036152         -0.0076811          12.771              -0.00080951         90                  0                   0                   
1.5                 -0.0061724          9.621               -0.00044888         -0.0082298          13.868              -0.00093957         90                  0                   0                   
1.6                 -0.0070228          11.064              -0.00054979         -0.0087784          14.985              -0.0010804          90                  0                   0                   
1.7                 -0.007928           12.619              -0.00066533         -0.009327           16.121              -0.0012323          90                  0                   0                   
1.8                 -0.0088882          14.288              -0.00079662         -0.0098756          17.276              -0.0013953          90                  0                   0                   
1.9                 -0.0099032          16.075              -0.00094478         -0.010424           18.45               -0.0015698          90                  0                   0                   
2                   -0.010973           17.979              -0.001111           -0.010973           19.641              -0.0017557          90                  0                   0                   
2.1                 -0.012098           20.003              -0.0012963          -0.011521           20.85               -0.0019534          90                  0                   0                   
2.2                 -0.013277           22.15               -0.001502           -0.01207            22.077              -0.002163           90                  0                   0                   
